Complexity,Loss,Equation
1,0.7223546,"2.161683"
3,0.43302238,"2.5498893 - r"
4,0.17076978,"log(2.5259569 / r)"
5,0.15835603,"1.3974677 / (r + 0.33839154)"
6,0.1443143,"log((3.0324492 / r) - v)"
7,0.08137817,"log(log(logMstel / v) / r)"
8,0.044010207,"square(sqrt(r) + -2.3417995) - sqrt(v)"
9,0.029300295,"square(sqrt(r) + -2.2046738) - (v * 0.44935247)"
10,0.023943553,"square(sqrt(r) + -2.463537) - exp(v * 0.28715056)"
11,0.023368675,"square(sqrt(r) + -2.2918837) - sqrt(exp(v) * 0.17210925)"
12,0.021375645,"square(sqrt(r * 1.4877188) + ((square(v) * 0.054320063) + -2.2602563))"
13,0.019591901,"square((sqrt(r * logMstel) * 0.38622335) + ((v * 0.15054372) + -2.3216398))"
14,0.016898716,"square(((sqrt(r * logMstel) * 0.38877296) + -2.2631264) + square(v * 0.23337874))"
15,0.016576791,"square((sqrt(logMstel) * (((square(v) * 0.044611506) + sqrt(r)) * 0.388714)) + -2.2632065)"
16,0.0150464615,"square(((sqrt((v + logMstel) * r) * 0.37218842) + -2.2504873) + square(v * 0.21251485))"
18,0.013581573,"square(((square(v) * 0.044421025) + sqrt((((v + logMstel) * r) + -0.11347717) * 0.1301756)) + -2.2134442)"
20,0.013507369,"square((-2.2131822 + (sqrt((((logMstel + -0.19413091) + v) * r) + -0.11294549) * 0.36247963)) + square(v * 0.2109047))"
